rec_id,signal,N. of measurements,eta,direct_method,p,maxiter_stage,MSE,SNR [dB]
a_144,21,60,16,True,0.5,10,1.1665559727737515e-25,226.48235089123767
a_145,21,60,16,True,0.6,10,2.4786665850728145e-24,213.20922558645876
a_146,21,60,16,True,0.7,10,7.070169411305068e-23,198.6571085048527
a_147,21,60,16,True,0.8,10,1.7327394027642045e-20,174.76407419045856
a_148,21,60,16,True,0.9,10,4.758702504234158e-18,150.37652109962178
a_149,21,60,16,True,1,10,1.160961653591463e-13,106.50321803594694
a_150,22,60,16,True,0.1,10,6.813589594399092e-28,252.26200320037475
a_151,22,60,16,True,0.2,10,9.849861394019118e-30,270.6614617182344
a_152,22,60,16,True,0.3,10,1.8757499432472787e-28,257.8640134904585
a_153,22,60,16,True,0.4,10,5.213368144909421e-27,243.4245789707017
a_154,22,60,16,True,0.5,10,1.5735882645621197e-25,228.62685182966655
a_155,22,60,16,True,0.6,10,5.2901991595632585e-24,213.3610426884431
a_156,22,60,16,True,0.7,10,2.4665908979907623e-22,196.6747916643916
a_157,22,60,16,True,0.8,10,3.586171276217999e-05,24.984152373635084
a_158,22,60,16,True,0.9,10,0.00010967522813969328,20.14794900105873
a_159,22,60,16,True,1,10,0.00012471189318516386,19.57337217041264
a_160,23,60,16,True,0.1,10,1.1795466547958295e-26,247.43455092648287
a_161,23,60,16,True,0.2,10,8.271509614654697e-27,248.9758543703044
a_162,23,60,16,True,0.3,10,6.996744386326587e-28,259.7027420790637
a_163,23,60,16,True,0.4,10,1.7842314780426577e-26,245.63719018850205
a_164,23,60,16,True,0.5,10,4.7286914773497435e-25,231.4042923645562
a_165,23,60,16,True,0.6,10,1.407164631172281e-23,216.66825305252564
a_166,23,60,16,True,0.7,10,8.569099975979685e-22,198.82235006124523
a_167,23,60,16,True,0.8,10,3.383655916884293e-05,32.850909702189256
a_168,23,60,16,True,0.9,10,5.2848578204209995e-05,30.913733968617883
a_169,23,60,16,True,1,10,8.877434771244324e-05,28.66086806990382
a_170,24,60,16,True,0.1,10,1.2448240754667658e-29,271.80425199367664
a_171,24,60,16,True,0.2,10,7.527221631190527e-30,273.98898474977733
a_172,24,60,16,True,0.3,10,3.397943508100279e-29,267.4431702424023
a_173,24,60,16,True,0.4,10,1.2226461754942015e-27,251.88232384850443
a_174,24,60,16,True,0.5,10,4.502348873897608e-26,236.22094034365549
a_175,24,60,16,True,0.6,10,1.724686517640746e-24,220.38823010169864
a_176,24,60,16,True,0.7,10,7.855692466775003e-23,203.80348705107
a_177,24,60,16,True,0.8,10,1.9967979134225255e-20,179.75199064192117
a_178,24,60,16,True,0.9,10,1.9878982783659797e-17,149.77139015805187
a_179,24,60,16,True,1,10,4.652467133183371e-05,26.0079370726347
a_180,25,60,16,True,0.1,10,4.923084847911695e-28,252.0330499667581
a_181,25,60,16,True,0.2,10,4.510578091613903e-05,22.431397681350806
a_182,25,60,16,True,0.3,10,8.215905885448674e-05,19.852915596624843
a_183,25,60,16,True,0.4,10,0.00010619067769120584,18.75356104120054
a_184,25,60,16,True,0.5,10,0.0001598255530533452,17.05156099827604
a_185,25,60,16,True,0.6,10,0.00016851592127560913,16.81992664247091
a_186,25,60,16,True,0.7,10,0.00018548291118348465,16.41344345822692
a_187,25,60,16,True,0.8,10,0.0002431158257982678,15.277718531418005
a_188,25,60,16,True,0.9,10,0.00033656702648476454,13.928321282933489
a_189,25,60,16,True,1,10,0.0003804127126287456,13.433924571878142
a_190,26,60,16,True,0.1,10,7.856574047579588e-29,260.72581548802617
a_191,26,60,16,True,0.2,10,3.095691010767978e-29,264.7705715077821
a_192,26,60,16,True,0.3,10,4.0193969607534195e-28,253.63653857068616
a_193,26,60,16,True,0.4,10,1.0471137039515962e-26,239.4782091345819
a_194,26,60,16,True,0.5,10,2.5981496665303662e-25,225.5315059184267
a_195,26,60,16,True,0.6,10,7.125424343700686e-24,211.1500402366136
a_196,26,60,16,True,0.7,10,2.683925724978627e-22,195.3904426385687
a_197,26,60,16,True,0.8,10,3.3626581942138065e-20,174.41132032116775
a_198,26,60,16,True,0.9,10,5.0046701638992807e-17,142.68439291116326
a_199,26,60,16,True,1,10,8.524074693936219e-06,30.32096714715697
a_200,27,60,16,True,0.1,10,2.3358200285020162e-29,272.1007787503799
a_201,27,60,16,True,0.2,10,4.316567600287306e-30,279.4337870637862
a_202,27,60,16,True,0.3,10,7.8352347390938e-29,266.8446524080564
a_203,27,60,16,True,0.4,10,2.49101270770502e-27,251.82141309955
a_204,27,60,16,True,0.5,10,7.692298976025887e-26,236.9246109742959
a_205,27,60,16,True,0.6,10,2.5624310340676975e-24,221.69865067508834
a_206,27,60,16,True,0.7,10,1.0750184306791752e-22,205.47101342925643
a_207,27,60,16,True,0.8,10,3.4755789647438833e-20,180.37490092865914
a_208,27,60,16,True,0.9,10,5.070959435622308e-17,148.7342711342638
a_209,27,60,16,True,1,10,0.00012351821838191176,24.84507174363246
a_210,28,60,16,True,0.1,10,3.038754918030321e-30,279.2649563151413
a_211,28,60,16,True,0.2,10,2.908622926764701e-29,269.4550388318862
a_212,28,60,16,True,0.3,10,6.64773860270456e-29,265.86517372127736
a_213,28,60,16,True,0.4,10,2.4469390020125808e-27,250.2056816297282
a_214,28,60,16,True,0.5,10,8.382722504074832e-26,234.8580621643523
a_215,28,60,16,True,0.6,10,3.007510232964397e-24,219.30984192554374
a_216,28,60,16,True,0.7,10,1.3268123007076736e-22,202.86381817081931
a_217,28,60,16,True,0.8,10,5.267824223302091e-20,176.87560031115996
a_218,28,60,16,True,0.9,10,3.676702183850214e-17,148.43732851810674
a_219,28,60,16,True,1,10,4.2367144303995114e-05,27.798178235618355
a_220,29,60,16,True,0.1,10,2.8895248475465385e-29,265.89738989249156
a_221,29,60,16,True,0.2,10,1.3965730939870158e-29,269.05501751863
a_222,29,60,16,True,0.3,10,7.567543551847638e-29,261.7161049360742
