rec_id,phantom,zeros_pct_in_synthetic_image,Algorithm,simulate_measurements,N. angles,p,SSIM,MSE,PSNR [dB],SNR [dB]
171,000324094767_slice_10,0.7,irls_drs,True,190,0.2,0.9999999814020023,1.4049616089835944e-10,98.5233554282963,92.08571957981579
172,000324094767_slice_10,0.7,irls_drs,True,190,0.3,0.9999999815105823,1.3954606763684954e-10,98.55282397281259,92.11518812433206
173,000324094767_slice_10,0.7,irls_drs,True,190,0.4,0.9999999815341031,1.3988930931997678e-10,98.54215474076781,92.10451889228729
174,000324094767_slice_10,0.7,irls_drs,True,190,0.5,0.9999999798116181,1.5409588870208264e-10,98.12208948159048,91.68445363310995
175,000324094767_slice_10,0.7,irls_drs,True,190,0.6,0.9999999759615895,1.8495618032882944e-10,97.32931152113593,90.89167567265541
176,000324094767_slice_10,0.7,irls_drs,True,190,0.7,0.9999999705770182,2.2690006439618198e-10,96.44165380858553,90.004017960105
177,000324094767_slice_10,0.7,irls_drs,True,190,0.8,0.9999999628976115,2.8487328174857425e-10,95.45348281309114,89.0158469646106
178,000324094767_slice_10,0.7,irls_drs,True,190,0.9,0.999999639039787,2.7908015458050648e-09,85.54271045140212,79.1050746029216
179,000324094767_slice_10,0.7,irls_drs,True,190,1.0,0.9999976340468023,1.848535084542242e-08,77.33172302256956,70.89408717408904
180,000324094767_slice_10,0.7,irls_drs,True,200,0.1,0.999999991943262,6.038882731457389e-11,102.19043403836864,95.75279818988811
181,000324094767_slice_10,0.7,irls_drs,True,200,0.2,0.9999999916489326,6.245774831206507e-11,102.04413676738419,95.60650091890366
182,000324094767_slice_10,0.7,irls_drs,True,200,0.3,0.9999999910054738,6.733811091262675e-11,101.71739071371303,95.27975486523249
183,000324094767_slice_10,0.7,irls_drs,True,200,0.4,0.9999999900738471,7.463810378971317e-11,101.27039402542971,94.8327581769492
184,000324094767_slice_10,0.7,irls_drs,True,200,0.5,0.9999999882606113,8.873349478188148e-11,100.5191241339149,94.08148828543438
185,000324094767_slice_10,0.7,irls_drs,True,200,0.6,0.9999999847554275,1.1573751586386341e-10,99.36525843366928,92.92762258518876
186,000324094767_slice_10,0.7,irls_drs,True,200,0.7,0.999999980762878,1.4617159812261565e-10,98.3513700478514,91.91373419937088
187,000324094767_slice_10,0.7,irls_drs,True,200,0.8,0.9999999755711915,1.8547859335761466e-10,97.3170620638925,90.879426215412
188,000324094767_slice_10,0.7,irls_drs,True,200,0.9,0.9999999679663816,2.4284729988949447e-10,96.14666720890192,89.70903136042139
189,000324094767_slice_10,0.7,irls_drs,True,200,1.0,0.9999991539051379,6.745275359503667e-09,81.71000316611496,75.27236731763443
190,000324094767_slice_10,0.7,irls_drs,True,210,0.1,0.9999999976788279,1.7229170189654097e-11,107.63735639019336,101.19972054171284
191,000324094767_slice_10,0.7,irls_drs,True,210,0.2,0.9999999975085427,1.8556134048619718e-11,107.315124988195,100.8774891397145
192,000324094767_slice_10,0.7,irls_drs,True,210,0.3,0.9999999971466139,2.1432436789855077e-11,106.68928448453094,100.25164863605042
193,000324094767_slice_10,0.7,irls_drs,True,210,0.4,0.9999999960979564,2.951004342798811e-11,105.30030151376974,98.8626656652892
194,000324094767_slice_10,0.7,irls_drs,True,210,0.5,0.9999999944312908,4.2174207562489376e-11,103.74953068892276,97.31189484044225
195,000324094767_slice_10,0.7,irls_drs,True,210,0.6,0.9999999924902678,5.677980208145299e-11,102.45806125636906,96.02042540788855
196,000324094767_slice_10,0.7,irls_drs,True,210,0.7,0.9999999901956982,7.412083899414514e-11,101.30059673426732,94.8629608857868
197,000324094767_slice_10,0.7,irls_drs,True,210,0.8,0.9999999871242896,9.739192678957606e-11,100.11477042054176,93.67713457206123
198,000324094767_slice_10,0.7,irls_drs,True,210,0.9,0.9999999831162041,1.2785224038922439e-10,98.93291657311855,92.49528072463802
199,000324094767_slice_10,0.7,irls_drs,True,210,1.0,0.9999999571500792,3.3105077088402863e-10,94.80105396484402,88.36341811636348
200,000324094767_slice_10,0.7,irls_drs,True,220,0.1,0.9999999986381798,1.0317142974225758e-11,109.86440550994908,103.42676966146855
201,000324094767_slice_10,0.7,irls_drs,True,220,0.2,0.9999999985354711,1.1047776474654747e-11,109.56725121251117,103.12961536403066
202,000324094767_slice_10,0.7,irls_drs,True,220,0.3,0.9999999982935461,1.2814415762786007e-11,108.92301189462736,102.48537604614684
203,000324094767_slice_10,0.7,irls_drs,True,220,0.4,0.9999999978386818,1.624243469349199e-11,107.89348870741635,101.45585285893583
204,000324094767_slice_10,0.7,irls_drs,True,220,0.5,0.9999999969519633,2.296214209673843e-11,106.38987599836832,99.95224014988781
